feature,coefficient,absolute_coefficient
num__NUM_PRIOR_ENCOUNTERS,2.2535310319347017,2.2535310319347017
cat__ENCOUNTERCLASS_wellness,-1.5277124819683312,1.5277124819683312
cat__ENCOUNTERCLASS_urgentcare,1.0530350766166712,1.0530350766166712
cat__ENCOUNTERCLASS_ambulatory,0.7105119020657193,0.7105119020657193
cat__ENCOUNTERCLASS_outpatient,-0.26395954306100283,0.26395954306100283
cat__ENCOUNTERCLASS_inpatient,0.24328548088872282,0.24328548088872282
num__AGE_AT_ENCOUNTER,-0.2411632933903392,0.2411632933903392
cat__ENCOUNTERCLASS_emergency,-0.20835021581270954,0.20835021581270954
cat__RACE_asian,0.1891595847050353,0.1891595847050353
num__TOTAL_CLAIM_COST,0.1832942932902554,0.1832942932902554
cat__GENDER_F,0.1469779663741265,0.1469779663741265
cat__RACE_black,-0.1404644870824081,0.1404644870824081
cat__GENDER_M,-0.14016774764506656,0.14016774764506656
cat__RACE_hawaiian,-0.03674326659731404,0.03674326659731404
cat__ETHNICITY_hispanic,0.012456686749313883,0.012456686749313883
cat__RACE_other,-0.009740231906534384,0.009740231906534384
cat__RACE_native,0.006102072856010684,0.006102072856010684
cat__ETHNICITY_nonhispanic,-0.0056464680202388175,0.0056464680202388175
cat__RACE_white,-0.0015034532457145343,0.0015034532457145343
