feature,importance
cat__ENCOUNTERCLASS_wellness,0.63900673
cat__ENCOUNTERCLASS_ambulatory,0.1036519
num__NUM_PRIOR_ENCOUNTERS,0.056352906
cat__ENCOUNTERCLASS_outpatient,0.04666002
num__TOTAL_CLAIM_COST,0.0399913
cat__ENCOUNTERCLASS_inpatient,0.01953041
cat__ENCOUNTERCLASS_urgentcare,0.018058153
num__AGE_AT_ENCOUNTER,0.016922675
cat__GENDER_F,0.009249569
cat__RACE_asian,0.008827051
cat__RACE_white,0.008186285
cat__GENDER_M,0.007587623
cat__RACE_black,0.0073165814
cat__ENCOUNTERCLASS_emergency,0.006588562
cat__RACE_hawaiian,0.0037986154
cat__ETHNICITY_hispanic,0.0034694131
cat__ETHNICITY_nonhispanic,0.0027172975
cat__RACE_other,0.0020848725
cat__RACE_native,0.0
